name,year_month,sentiment_emb,year,month
DBS,2017-2,100.0,2017,2
Tan Su Shan,2017-2,100.0,2017,2
BLOOMBERG,2017-4,-100.0,2017,4
DBS,2017-4,-100.0,2017,4
Gupta,2017-4,-100.0,2017,4
DBS,2017-5,100.0,2017,5
Deutsche Bank,2017-5,100.0,2017,5
MAS,2017-5,100.0,2017,5
REUTERS,2017-5,100.0,2017,5
Taimur Baig,2017-5,100.0,2017,5
Best Managed Board,2017-7,100.0,2017,7
CapitaLand,2017-7,100.0,2017,7
DBS,2017-7,100.0,2017,7
Frasers,2017-7,100.0,2017,7
Leaders,2017-7,100.0,2017,7
Megachem Limited,2017-7,100.0,2017,7
Singtel,2017-7,100.0,2017,7
Tan Su Shan,2017-7,100.0,2017,7
Tuan Sing Holdings,2017-7,100.0,2017,7
DBS,2017-9,100.0,2017,9
OCBC,2017-9,100.0,2017,9
UOB,2017-9,100.0,2017,9
CNBC,2017-11,100.0,2017,11
DBS,2017-11,100.0,2017,11
David Gledhill,2017-11,100.0,2017,11
SingTel,2017-11,-100.0,2017,11
DBS,2017-12,100.0,2017,12
Irvin Seah,2017-12,100.0,2017,12
DBS,2018-1,-33.33333333333333,2018,1
OCBC,2018-1,100.0,2018,1
UOB,2018-1,100.0,2018,1
AXA,2018-2,-100.0,2018,2
DBS,2018-2,-33.33333333333333,2018,2
Derek Tan,2018-2,-100.0,2018,2
Lok,2018-2,100.0,2018,2
PREH,2018-2,-100.0,2018,2
Tan Su Shan,2018-2,100.0,2018,2
Creative Technology,2018-3,100.0,2018,3
DBS,2018-3,100.0,2018,3
Sachin Mittal,2018-3,100.0,2018,3
Carousell,2018-5,100.0,2018,5
DBS,2018-5,100.0,2018,5
Golden Gate Ventures,2018-5,100.0,2018,5
