name,type,importance,sentiment_emb
M1,ORGANIZATION,1.0,60.0
StarHub,ORGANIZATION,0.49004306725124264,100.0
Singtel,ORGANIZATION,0.19577311589436025,100.0
Circles.Life,ORGANIZATION,0.17443841491496423,100.0
MyRepublic,ORGANIZATION,0.11595927811566374,0.0
Apple,ORGANIZATION,0.028233581612541792,100.0
Dell,ORGANIZATION,0.02207495896539546,100.0
iPhone Lenovo LG,ORGANIZATION,0.01665352959978111,100.0
Intel,ORGANIZATION,0.01665352959978111,100.0
Huawei,ORGANIZATION,0.015206942712643761,100.0
Google,ORGANIZATION,0.013930028839940484,100.0
Nokia,ORGANIZATION,0.0116670670397418,100.0
Microsoft,ORGANIZATION,0.0116670670397418,100.0
IDA,ORGANIZATION,0.009388291188455843,100.0
HP,ORGANIZATION,0.007314649450170073,100.0
HTC,ORGANIZATION,0.007314649450170073,100.0
